Recommender type: SVDRecommender	Factorization Type: ALSWRFactorizer 	 Num Features type: 50	Lambda: 0.1	Num Of iteration: 20	Test Size: 0
--------------------------------------------
Total: 50000 	 Error Count: 11664 	 %Correct: 0.7667200000000001
Total: 60000 	 Error Count: 14029 	 %Correct: 0.7661833333333333
Total: 70000 	 Error Count: 16360 	 %Correct: 0.7662857142857142
Total: 80000 	 Error Count: 19047 	 %Correct: 0.7619125
Total: 90000 	 Error Count: 21544 	 %Correct: 0.7606222222222222
Total: 100000 	 Error Count: 24206 	 %Correct: 0.7579400000000001
Total: 110000 	 Error Count: 26668 	 %Correct: 0.7575636363636363
Total: 120000 	 Error Count: 29564 	 %Correct: 0.7536333333333334
Total: 130000 	 Error Count: 32210 	 %Correct: 0.7522307692307693
Total: 140000 	 Error Count: 35462 	 %Correct: 0.7466999999999999
Total: 150000 	 Error Count: 38234 	 %Correct: 0.7451066666666666
Total: 160000 	 Error Count: 41384 	 %Correct: 0.74135
Total: 170000 	 Error Count: 44411 	 %Correct: 0.7387588235294118
Total: 180000 	 Error Count: 47201 	 %Correct: 0.7377722222222223
Total: 190000 	 Error Count: 50506 	 %Correct: 0.734178947368421
Total: 200000 	 Error Count: 53608 	 %Correct: 0.7319599999999999
Total: 210000 	 Error Count: 56337 	 %Correct: 0.7317285714285715
Total: 220000 	 Error Count: 59122 	 %Correct: 0.7312636363636363
Total: 230000 	 Error Count: 61961 	 %Correct: 0.730604347826087
Total: 240000 	 Error Count: 64832 	 %Correct: 0.7298666666666667
Total: 250000 	 Error Count: 67546 	 %Correct: 0.729816
Total: 260000 	 Error Count: 70099 	 %Correct: 0.7303884615384615
Total: 270000 	 Error Count: 73151 	 %Correct: 0.7290703703703704
Total: 280000 	 Error Count: 76319 	 %Correct: 0.7274321428571429
Total: 290000 	 Error Count: 79128 	 %Correct: 0.7271448275862069
Total: 300000 	 Error Count: 82356 	 %Correct: 0.72548
Total: 310000 	 Error Count: 85551 	 %Correct: 0.7240290322580645
Total: 320000 	 Error Count: 88455 	 %Correct: 0.723578125
Total: 330000 	 Error Count: 91477 	 %Correct: 0.7227969696969697
Total: 340000 	 Error Count: 93885 	 %Correct: 0.7238676470588234
Total: 350000 	 Error Count: 96683 	 %Correct: 0.7237628571428572
Total: 360000 	 Error Count: 99447 	 %Correct: 0.7237583333333333
Total: 370000 	 Error Count: 101995 	 %Correct: 0.7243378378378378
Total: 380000 	 Error Count: 104836 	 %Correct: 0.7241157894736843
Total: 390000 	 Error Count: 107695 	 %Correct: 0.7238589743589743
Total: 400000 	 Error Count: 110220 	 %Correct: 0.72445
Total: 410000 	 Error Count: 112908 	 %Correct: 0.7246146341463415
Total: 420000 	 Error Count: 115594 	 %Correct: 0.7247761904761905
Total: 430000 	 Error Count: 118371 	 %Correct: 0.7247186046511628
Total: 440000 	 Error Count: 120896 	 %Correct: 0.7252363636363637
Total: 450000 	 Error Count: 123800 	 %Correct: 0.7248888888888889
Total: 460000 	 Error Count: 126469 	 %Correct: 0.7250673913043478
Total: 470000 	 Error Count: 129159 	 %Correct: 0.7251936170212766
Total: 480000 	 Error Count: 131803 	 %Correct: 0.7254104166666666
Total: 490000 	 Error Count: 134551 	 %Correct: 0.7254061224489796
Total: 499019 	 Error Count: 137095 	 %Correct: 0.7252709816660288
--------------------------------------------
Recommender type: SVDRecommender	Factorization Type: SVDPlusPlusFactorizer 	 Num Features type: 100	Lambda: 0.2	Num Of iteration: 20	Test Size: 0
--------------------------------------------
Total: 10000 	 Error Count: 2244 	 %Correct: 0.7756000000000001
Total: 20000 	 Error Count: 4656 	 %Correct: 0.7672
Total: 30000 	 Error Count: 6432 	 %Correct: 0.7856
Total: 40000 	 Error Count: 9145 	 %Correct: 0.771375
Total: 50000 	 Error Count: 11753 	 %Correct: 0.76494
Total: 60000 	 Error Count: 14122 	 %Correct: 0.7646333333333333
Total: 70000 	 Error Count: 16406 	 %Correct: 0.7656285714285714
Total: 80000 	 Error Count: 19054 	 %Correct: 0.761825
Total: 90000 	 Error Count: 21530 	 %Correct: 0.7607777777777778
Total: 100000 	 Error Count: 24192 	 %Correct: 0.75808
Total: 110000 	 Error Count: 26749 	 %Correct: 0.7568272727272727
Total: 120000 	 Error Count: 29593 	 %Correct: 0.7533916666666667
Total: 130000 	 Error Count: 32175 	 %Correct: 0.7525
Total: 140000 	 Error Count: 35333 	 %Correct: 0.7476214285714285
Total: 150000 	 Error Count: 38098 	 %Correct: 0.7460133333333333
Total: 160000 	 Error Count: 41209 	 %Correct: 0.7424437500000001
Total: 170000 	 Error Count: 44199 	 %Correct: 0.7400058823529412
Total: 180000 	 Error Count: 46928 	 %Correct: 0.7392888888888889
Total: 190000 	 Error Count: 50169 	 %Correct: 0.7359526315789473
Total: 200000 	 Error Count: 53346 	 %Correct: 0.73327
Total: 210000 	 Error Count: 56074 	 %Correct: 0.7329809523809524
Total: 220000 	 Error Count: 58856 	 %Correct: 0.7324727272727273
Total: 230000 	 Error Count: 61625 	 %Correct: 0.7320652173913044
Total: 240000 	 Error Count: 64456 	 %Correct: 0.7314333333333334
Total: 250000 	 Error Count: 67142 	 %Correct: 0.7314320000000001
Total: 260000 	 Error Count: 69699 	 %Correct: 0.7319269230769231
Total: 270000 	 Error Count: 72648 	 %Correct: 0.7309333333333333
Total: 280000 	 Error Count: 75694 	 %Correct: 0.7296642857142857
Total: 290000 	 Error Count: 78541 	 %Correct: 0.7291689655172413
Total: 300000 	 Error Count: 81766 	 %Correct: 0.7274466666666667
Total: 310000 	 Error Count: 84821 	 %Correct: 0.7263838709677419
Total: 320000 	 Error Count: 87713 	 %Correct: 0.725896875
Total: 330000 	 Error Count: 90661 	 %Correct: 0.725269696969697
Total: 340000 	 Error Count: 93055 	 %Correct: 0.7263088235294117
Total: 350000 	 Error Count: 95822 	 %Correct: 0.7262228571428572
Total: 360000 	 Error Count: 98563 	 %Correct: 0.7262138888888889
Total: 370000 	 Error Count: 101129 	 %Correct: 0.7266783783783783
Total: 380000 	 Error Count: 103981 	 %Correct: 0.7263657894736841
Total: 390000 	 Error Count: 106679 	 %Correct: 0.7264641025641025
Total: 400000 	 Error Count: 109164 	 %Correct: 0.72709
Total: 410000 	 Error Count: 111787 	 %Correct: 0.7273487804878049
Total: 420000 	 Error Count: 114408 	 %Correct: 0.7276
Total: 430000 	 Error Count: 117072 	 %Correct: 0.727739534883721
Total: 440000 	 Error Count: 119561 	 %Correct: 0.7282704545454546
Total: 450000 	 Error Count: 122355 	 %Correct: 0.7281
Total: 460000 	 Error Count: 124938 	 %Correct: 0.728395652173913
Total: 470000 	 Error Count: 127587 	 %Correct: 0.7285382978723405
Total: 480000 	 Error Count: 130190 	 %Correct: 0.7287708333333334
Total: 490000 	 Error Count: 132883 	 %Correct: 0.7288102040816327
Total: 499019 	 Error Count: 135357 	 %Correct: 0.7287538149850006
--------------------------------------------
